"","sample","batch","78.02055","452.00345","138.96337","73.53838","385.12885","237.02815","222.02744","399.33298","394.23541","428.03716","207.01423","210.06077","397.06669","315.03262","174.08419","438.14243","161.0295","173.98804","133.07219","407.14259","451.97517","167.02071","500.2254","133.06077","553.32542","170.0326","211.10945","203.05255","170.06172","324.24879","245.13234","102.09132","263.13186","386.21715","228.99584","470.9348","242.07889","370.19102","336.94224","174.9828","136.0474","144.10058"
"1","batch01_QC01",1,13071,10737,8062.3,26141,56964,90166,34025,44250,29848,22580,574650,9819.3,21348,55901,26484,24312,63083,6408.5,4165.4,16081,32225,51905,4689.9,50879,16522,2637300,19477,4270500,26912,25528,7594.4,26752,70045,53905,29777,18865,762730,36851,17438,11361,153000,9932.3
"2","batch01_QC02",1,15270,27397,6294.6,25944,59045,92315,30253,41942,36707,22054,628590,13343,20614,60073,28452,24474,49694,9308.4,4174.3,15194,32872,50083,2260.8,45982,12235,2570400,21199,4200000,27181,27392,6653.1,29468,66617,14143,22773,23850,859350,8957.7,18737,15272,149210,10926
"3","batch01_QC03",1,14023,22455,6635.4,26493,57625,105490,34676,42457,36120,22190,595860,12934,23796,45235,30431,27145,59132,7677.3,3553,17141,31521,51882,3632.9,46824,14823,2692000,17751,4089700,27398,24920,9988.95,30245,69471,31274,29248,24211,829420,22651,19037,13421,153380,9722.9
"4","batch01_QC04",1,15879,20038,6419.4,27685,49356,99930,31940,42609,35934,19492,606020,6440,23064,68335,28857,21387,52034,10211,3259.6,14068,29064,51474,4018.1,44958,19802,2567500,15949,4081100,31770,28043,8739.2,27384,66570,44861,24497,22037,788590,22044,17658,14277,157030,9222.7
"5","batch01_QC05",1,18566,13017,6596.2,27947,55748,106110,31249,44122,31407,21874,588560,7318,24950,62448,29883,24982,59009,7614.8,5789.9,17193,26846,50111,2598.9,46757,14344,2767300,14576,4188500,28650,28868,11355,28158,67110,22314,26354,19649,844540,18829,19601,14002,167020,10311
"6","batch01_QC06",1,17536,22809,7290.9,29738,51314,96268,30855,41993,35436,21660,563680,9230.67,23536,68895,28952,24376,54162,7126.3,3438.4,14892,29795,47031,5823.7,52095,14425.1,2758400,17878,4185100,26230,28989,10989,30250,73232,26236,23712,21447,785080,13578,18409,15263,168060,10628
"7","batch01_QC07",1,15186,20498,7323.4,24547,51710,89196,27405,42665,32704,19133,716670,5556,20588,61319,28910,24722,63186,10313,3041.8,17414,31569,55078,4116.8,40992,12522,2510100,16803,4223200,30630,25809,11278,26695,55813,38962,24185,23346,844710,21867,19616,17449,151710,8235.7
"8","batch02_QC08",1,12607,19690,6210.2,24282,51260,115020,27229,41322,32986,21997,686600,11168,25726,63263,28853,26469,59794,10035,5368.2,14603,32052,51068,6097.5,45467,13152,2403300,16868,4158000,31371,28342,8151.1,25225,61053,39077,21554,22055,823450,20386,20022,14928,149340,9010.8
"9","batch02_QC09",1,14836,21150,7203.5,23000,53539,216540,27201,38547,30390,19310,688980,8057.4,43084,52750,30014,22348,61861,10739,3775.6,12039,30994,52656,3528.7,43081,10699,2712100,14902,4096100,27958,26212,5851.8,27789,57908,11631,21345,26172,905800,6736.8,19309,16449,160170,9158.6
